pl,vt,old,new
Barry Bonds,Paul Sullivan,0,0
Jeff Kent,Paul Sullivan,0,0
Edgar Martinez,Paul Sullivan,0,0
Jeff Bagwell,Paul Sullivan,0,0
Mark McGwire,Paul Sullivan,0,0
Tim Raines,Paul Sullivan,1,1
Nomar Garciaparra,Paul Sullivan,0,0
Mike Mussina,Paul Sullivan,0,0
Gary Sheffield,Paul Sullivan,0,0
Fred McGriff,Paul Sullivan,0,0
Alan Trammell,Paul Sullivan,0,0
Sammy Sosa,Paul Sullivan,0,0
Larry Walker,Peter Abraham,0,0
Roger Clemens,Peter Abraham,1,1
Curt Schilling,Peter Abraham,1,1
Mike Piazza,Peter Abraham,1,1
Lee Smith,Peter Abraham,0,0
Barry Bonds,Peter Abraham,1,1
Jeff Kent,Peter Abraham,0,0
Edgar Martinez,Peter Abraham,0,1
Jeff Bagwell,Peter Abraham,1,1
Mark McGwire,Peter Abraham,0,0
Tim Raines,Peter Abraham,1,1
Nomar Garciaparra,Peter Abraham,0,0
Mike Mussina,Peter Abraham,1,1
Gary Sheffield,Peter Abraham,0,0
Fred McGriff,Peter Abraham,0,0
Alan Trammell,Peter Abraham,0,0
Sammy Sosa,Peter Abraham,0,0
Larry Walker,Peter Botte,0,0
Roger Clemens,Peter Botte,0,0
Curt Schilling,Peter Botte,1,1
Mike Piazza,Peter Botte,1,1
Lee Smith,Peter Botte,0,0
Barry Bonds,Peter Botte,0,0
Jeff Kent,Peter Botte,1,1
Edgar Martinez,Peter Botte,1,1
Jeff Bagwell,Peter Botte,1,1
Mark McGwire,Peter Botte,0,0
Tim Raines,Peter Botte,1,1
Nomar Garciaparra,Peter Botte,0,0
Mike Mussina,Peter Botte,0,0
Gary Sheffield,Peter Botte,0,0
Fred McGriff,Peter Botte,1,1
Alan Trammell,Peter Botte,0,0
Sammy Sosa,Peter Botte,0,0
Larry Walker,Phil Rogers,0,1
Roger Clemens,Phil Rogers,0,0
Curt Schilling,Phil Rogers,1,1
Mike Piazza,Phil Rogers,1,1
Lee Smith,Phil Rogers,0,0
Barry Bonds,Phil Rogers,0,0
Jeff Kent,Phil Rogers,0,0
Edgar Martinez,Phil Rogers,0,0
Jeff Bagwell,Phil Rogers,1,1
Mark McGwire,Phil Rogers,0,0
Tim Raines,Phil Rogers,1,1
Nomar Garciaparra,Phil Rogers,0,0
Mike Mussina,Phil Rogers,1,1
Gary Sheffield,Phil Rogers,0,0
Fred McGriff,Phil Rogers,0,0
Alan Trammell,Phil Rogers,1,1
Sammy Sosa,Phil Rogers,0,0
Larry Walker,Randy Miller,0,0
Roger Clemens,Randy Miller,0,0
Curt Schilling,Randy Miller,1,0
Mike Piazza,Randy Miller,1,1
Lee Smith,Randy Miller,0,0
Barry Bonds,Randy Miller,0,0
Jeff Kent,Randy Miller,0,0
Edgar Martinez,Randy Miller,0,0
Jeff Bagwell,Randy Miller,1,1
Mark McGwire,Randy Miller,0,0
Tim Raines,Randy Miller,0,0
Nomar Garciaparra,Randy Miller,0,0
Mike Mussina,Randy Miller,0,0
Gary Sheffield,Randy Miller,0,0
Fred McGriff,Randy Miller,1,1
Alan Trammell,Randy Miller,0,0
Sammy Sosa,Randy Miller,0,0
Larry Walker,Richard Justice,0,0
Roger Clemens,Richard Justice,1,0
Curt Schilling,Richard Justice,1,1
Mike Piazza,Richard Justice,0,1
Lee Smith,Richard Justice,0,0
Barry Bonds,Richard Justice,1,0
Jeff Kent,Richard Justice,0,0
Edgar Martinez,Richard Justice,0,1
Jeff Bagwell,Richard Justice,1,1
Mark McGwire,Richard Justice,0,0
Tim Raines,Richard Justice,0,1
Nomar Garciaparra,Richard Justice,0,0
Mike Mussina,Richard Justice,1,1
Gary Sheffield,Richard Justice,0,0
Fred McGriff,Richard Justice,0,0
Alan Trammell,Richard Justice,1,1
Sammy Sosa,Richard Justice,0,0
Larry Walker,Rick Plumlee,0,1
Roger Clemens,Rick Plumlee,0,1
Curt Schilling,Rick Plumlee,1,1
Mike Piazza,Rick Plumlee,0,1
Lee Smith,Rick Plumlee,1,0
Barry Bonds,Rick Plumlee,0,1
Jeff Kent,Rick Plumlee,0,0
Edgar Martinez,Rick Plumlee,0,0
Jeff Bagwell,Rick Plumlee,1,1
Mark McGwire,Rick Plumlee,0,0
Tim Raines,Rick Plumlee,1,1
Nomar Garciaparra,Rick Plumlee,0,0
Mike Mussina,Rick Plumlee,0,1
Gary Sheffield,Rick Plumlee,0,0
Fred McGriff,Rick Plumlee,0,0
Alan Trammell,Rick Plumlee,1,1
Sammy Sosa,Rick Plumlee,0,0
Larry Walker,Rob Maaddi,0,0
Roger Clemens,Rob Maaddi,1,1
Curt Schilling,Rob Maaddi,0,1
Mike Piazza,Rob Maaddi,1,1
Lee Smith,Rob Maaddi,0,0
Barry Bonds,Rob Maaddi,1,1
Jeff Kent,Rob Maaddi,0,0
Edgar Martinez,Rob Maaddi,0,0
Jeff Bagwell,Rob Maaddi,0,1
Mark McGwire,Rob Maaddi,1,1
Tim Raines,Rob Maaddi,1,0
Nomar Garciaparra,Rob Maaddi,0,0
Mike Mussina,Rob Maaddi,0,0
Gary Sheffield,Rob Maaddi,0,1
Fred McGriff,Rob Maaddi,0,0
Alan Trammell,Rob Maaddi,0,0
Sammy Sosa,Rob Maaddi,1,1
Larry Walker,Rob Parker,0,0
Roger Clemens,Rob Parker,1,1
Curt Schilling,Rob Parker,0,0
Mike Piazza,Rob Parker,0,0
Lee Smith,Rob Parker,1,1
Barry Bonds,Rob Parker,1,1
Jeff Kent,Rob Parker,0,0
Edgar Martinez,Rob Parker,0,0
Jeff Bagwell,Rob Parker,0,0
Mark McGwire,Rob Parker,1,1
Tim Raines,Rob Parker,0,0
Nomar Garciaparra,Rob Parker,0,0
Mike Mussina,Rob Parker,0,0
Gary Sheffield,Rob Parker,1,1
Fred McGriff,Rob Parker,0,0
Alan Trammell,Rob Parker,0,0
Sammy Sosa,Rob Parker,1,1
Larry Walker,Roger Rubin,0,0
Roger Clemens,Roger Rubin,0,0
Curt Schilling,Roger Rubin,1,1
Mike Piazza,Roger Rubin,1,1
Lee Smith,Roger Rubin,0,0
Barry Bonds,Roger Rubin,0,0
Jeff Kent,Roger Rubin,0,0
Edgar Martinez,Roger Rubin,1,1
Jeff Bagwell,Roger Rubin,1,1
Mark McGwire,Roger Rubin,0,0
Tim Raines,Roger Rubin,0,0
Nomar Garciaparra,Roger Rubin,0,0
Mike Mussina,Roger Rubin,0,0
Gary Sheffield,Roger Rubin,0,0
Fred McGriff,Roger Rubin,0,0
Alan Trammell,Roger Rubin,0,0
Sammy Sosa,Roger Rubin,0,0
Larry Walker,Ron Chimelis,0,0
Roger Clemens,Ron Chimelis,0,0
Curt Schilling,Ron Chimelis,0,1
Mike Piazza,Ron Chimelis,1,1
Lee Smith,Ron Chimelis,0,0
Barry Bonds,Ron Chimelis,0,0
Jeff Kent,Ron Chimelis,1,1
Edgar Martinez,Ron Chimelis,0,1
Jeff Bagwell,Ron Chimelis,1,1
Mark McGwire,Ron Chimelis,0,0
Tim Raines,Ron Chimelis,1,1
Nomar Garciaparra,Ron Chimelis,0,0
Mike Mussina,Ron Chimelis,1,1
Gary Sheffield,Ron Chimelis,0,0
Fred McGriff,Ron Chimelis,1,1
Alan Trammell,Ron Chimelis,0,0
Sammy Sosa,Ron Chimelis,0,0
Larry Walker,Ross Newhan,0,0
Roger Clemens,Ross Newhan,0,0
Curt Schilling,Ross Newhan,1,1
Mike Piazza,Ross Newhan,1,1
Lee Smith,Ross Newhan,0,0
Barry Bonds,Ross Newhan,0,0
Jeff Kent,Ross Newhan,1,1
Edgar Martinez,Ross Newhan,0,1
Jeff Bagwell,Ross Newhan,1,1
Mark McGwire,Ross Newhan,0,0
Tim Raines,Ross Newhan,1,1
Nomar Garciaparra,Ross Newhan,0,0
Mike Mussina,Ross Newhan,1,1
Gary Sheffield,Ross Newhan,0,0
Fred McGriff,Ross Newhan,0,0
Alan Trammell,Ross Newhan,0,1
Sammy Sosa,Ross Newhan,0,0
Larry Walker,Sam Carchidi,0,0
Roger Clemens,Sam Carchidi,0,0
Curt Schilling,Sam Carchidi,1,1
Mike Piazza,Sam Carchidi,1,1
Lee Smith,Sam Carchidi,1,1
Barry Bonds,Sam Carchidi,0,0
Jeff Kent,Sam Carchidi,0,0
Edgar Martinez,Sam Carchidi,0,0
Jeff Bagwell,Sam Carchidi,1,1
Mark McGwire,Sam Carchidi,0,0
Tim Raines,Sam Carchidi,0,1
Nomar Garciaparra,Sam Carchidi,0,0
Mike Mussina,Sam Carchidi,0,0
Gary Sheffield,Sam Carchidi,0,0
Fred McGriff,Sam Carchidi,1,1
Alan Trammell,Sam Carchidi,0,0
Sammy Sosa,Sam Carchidi,0,0
Larry Walker,Scott Priestle,0,0
Roger Clemens,Scott Priestle,0,1
Curt Schilling,Scott Priestle,1,1
Mike Piazza,Scott Priestle,1,1
Lee Smith,Scott Priestle,0,0
Barry Bonds,Scott Priestle,0,1
Jeff Kent,Scott Priestle,0,0
Edgar Martinez,Scott Priestle,1,1
Jeff Bagwell,Scott Priestle,1,1
Mark McGwire,Scott Priestle,0,1
Tim Raines,Scott Priestle,1,1
Nomar Garciaparra,Scott Priestle,0,0
Mike Mussina,Scott Priestle,1,1
Gary Sheffield,Scott Priestle,0,0
Fred McGriff,Scott Priestle,0,0
Alan Trammell,Scott Priestle,0,0
Sammy Sosa,Scott Priestle,0,0
Larry Walker,Stephen Jacobson,0,0
Roger Clemens,Stephen Jacobson,0,0
Curt Schilling,Stephen Jacobson,0,0
Mike Piazza,Stephen Jacobson,1,1
Lee Smith,Stephen Jacobson,0,0
Barry Bonds,Stephen Jacobson,0,0
Jeff Kent,Stephen Jacobson,0,0
Edgar Martinez,Stephen Jacobson,1,1
Jeff Bagwell,Stephen Jacobson,0,0
Mark McGwire,Stephen Jacobson,0,0
Tim Raines,Stephen Jacobson,1,1
Nomar Garciaparra,Stephen Jacobson,0,0
Mike Mussina,Stephen Jacobson,0,0
Gary Sheffield,Stephen Jacobson,0,0
Fred McGriff,Stephen Jacobson,0,0
Alan Trammell,Stephen Jacobson,0,1
Sammy Sosa,Stephen Jacobson,0,0
Larry Walker,Steve Buckley,0,0
Roger Clemens,Steve Buckley,0,0
Curt Schilling,Steve Buckley,1,1
Mike Piazza,Steve Buckley,1,1
Lee Smith,Steve Buckley,0,0
Barry Bonds,Steve Buckley,0,0
Jeff Kent,Steve Buckley,0,1
Edgar Martinez,Steve Buckley,1,1
Jeff Bagwell,Steve Buckley,1,1
Mark McGwire,Steve Buckley,0,0
Tim Raines,Steve Buckley,1,1
Nomar Garciaparra,Steve Buckley,0,0
Mike Mussina,Steve Buckley,1,1
Gary Sheffield,Steve Buckley,0,0
Fred McGriff,Steve Buckley,0,1
Alan Trammell,Steve Buckley,0,1
Sammy Sosa,Steve Buckley,0,0
Larry Walker,Steve Simmons,0,1
Roger Clemens,Steve Simmons,0,0
Curt Schilling,Steve Simmons,1,0
Mike Piazza,Steve Simmons,1,1
Lee Smith,Steve Simmons,0,1
Barry Bonds,Steve Simmons,0,0
Jeff Kent,Steve Simmons,1,0
Edgar Martinez,Steve Simmons,0,1
Jeff Bagwell,Steve Simmons,1,1
Mark McGwire,Steve Simmons,0,0
Tim Raines,Steve Simmons,1,1
Nomar Garciaparra,Steve Simmons,0,0
Mike Mussina,Steve Simmons,1,0
Gary Sheffield,Steve Simmons,0,1
Fred McGriff,Steve Simmons,0,0
Alan Trammell,Steve Simmons,0,0
Sammy Sosa,Steve Simmons,0,0
Larry Walker,Steven Gietschier,0,0
Roger Clemens,Steven Gietschier,0,0
Curt Schilling,Steven Gietschier,0,0
Mike Piazza,Steven Gietschier,1,1
Lee Smith,Steven Gietschier,0,0
Barry Bonds,Steven Gietschier,0,0
Jeff Kent,Steven Gietschier,1,1
Edgar Martinez,Steven Gietschier,1,1
Jeff Bagwell,Steven Gietschier,1,1
Mark McGwire,Steven Gietschier,0,0
Tim Raines,Steven Gietschier,0,0
Nomar Garciaparra,Steven Gietschier,0,0
Mike Mussina,Steven Gietschier,1,1
Gary Sheffield,Steven Gietschier,0,0
Fred McGriff,Steven Gietschier,1,1
Alan Trammell,Steven Gietschier,0,0
Sammy Sosa,Steven Gietschier,0,0
Larry Walker,Steven Goldman,0,0
Roger Clemens,Steven Goldman,0,0
Curt Schilling,Steven Goldman,0,1
Mike Piazza,Steven Goldman,1,1
Lee Smith,Steven Goldman,1,1
Barry Bonds,Steven Goldman,0,0
Jeff Kent,Steven Goldman,1,1
Edgar Martinez,Steven Goldman,0,0
Jeff Bagwell,Steven Goldman,1,1
Mark McGwire,Steven Goldman,0,0
Tim Raines,Steven Goldman,1,1
Nomar Garciaparra,Steven Goldman,0,0
Mike Mussina,Steven Goldman,0,1
Gary Sheffield,Steven Goldman,0,0
Fred McGriff,Steven Goldman,0,0
Alan Trammell,Steven Goldman,1,1
Sammy Sosa,Steven Goldman,0,0
Larry Walker,Steven Marcus,0,0
Roger Clemens,Steven Marcus,0,0
Curt Schilling,Steven Marcus,0,0
Mike Piazza,Steven Marcus,0,0
Lee Smith,Steven Marcus,0,0
Barry Bonds,Steven Marcus,0,0
Jeff Kent,Steven Marcus,0,0
Edgar Martinez,Steven Marcus,0,0
Jeff Bagwell,Steven Marcus,0,0
Mark McGwire,Steven Marcus,0,0
Tim Raines,Steven Marcus,0,0
Nomar Garciaparra,Steven Marcus,0,0
Mike Mussina,Steven Marcus,0,0
Gary Sheffield,Steven Marcus,0,0
Fred McGriff,Steven Marcus,0,0
Alan Trammell,Steven Marcus,0,0
Sammy Sosa,Steven Marcus,0,0
Larry Walker,TR Sullivan,0,0
Roger Clemens,TR Sullivan,1,1
Curt Schilling,TR Sullivan,1,0
Mike Piazza,TR Sullivan,1,1
Lee Smith,TR Sullivan,0,0
Barry Bonds,TR Sullivan,1,1
Jeff Kent,TR Sullivan,0,0
Edgar Martinez,TR Sullivan,0,0
Jeff Bagwell,TR Sullivan,1,1
Mark McGwire,TR Sullivan,0,0
Tim Raines,TR Sullivan,1,1
Nomar Garciaparra,TR Sullivan,0,0
Mike Mussina,TR Sullivan,1,1
Gary Sheffield,TR Sullivan,0,1
Fred McGriff,TR Sullivan,0,1
Alan Trammell,TR Sullivan,0,1
Sammy Sosa,TR Sullivan,0,0
Larry Walker,Terence Moore,0,0
Roger Clemens,Terence Moore,0,0
Curt Schilling,Terence Moore,0,0
Mike Piazza,Terence Moore,0,1
Lee Smith,Terence Moore,1,1
Barry Bonds,Terence Moore,0,0
Jeff Kent,Terence Moore,0,0
Edgar Martinez,Terence Moore,0,0
Jeff Bagwell,Terence Moore,0,0
Mark McGwire,Terence Moore,0,0
Tim Raines,Terence Moore,1,1
Nomar Garciaparra,Terence Moore,0,0
Mike Mussina,Terence Moore,0,0
Gary Sheffield,Terence Moore,1,1
Fred McGriff,Terence Moore,1,1
Alan Trammell,Terence Moore,0,0
Sammy Sosa,Terence Moore,0,0
Larry Walker,Thom Loverro,0,0
Roger Clemens,Thom Loverro,0,0
Curt Schilling,Thom Loverro,0,1
Mike Piazza,Thom Loverro,1,1
Lee Smith,Thom Loverro,0,0
Barry Bonds,Thom Loverro,0,0
Jeff Kent,Thom Loverro,0,0
Edgar Martinez,Thom Loverro,0,1
Jeff Bagwell,Thom Loverro,1,1
Mark McGwire,Thom Loverro,0,0
Tim Raines,Thom Loverro,0,0
Nomar Garciaparra,Thom Loverro,0,0
Mike Mussina,Thom Loverro,1,1
Gary Sheffield,Thom Loverro,0,0
Fred McGriff,Thom Loverro,1,1
Alan Trammell,Thom Loverro,1,1
Sammy Sosa,Thom Loverro,0,0
Larry Walker,Tim Cowlishaw,0,1
Roger Clemens,Tim Cowlishaw,1,1
Curt Schilling,Tim Cowlishaw,0,1
Mike Piazza,Tim Cowlishaw,1,1
Lee Smith,Tim Cowlishaw,0,0
Barry Bonds,Tim Cowlishaw,1,1
Jeff Kent,Tim Cowlishaw,0,0
Edgar Martinez,Tim Cowlishaw,1,1
Jeff Bagwell,Tim Cowlishaw,1,1
Mark McGwire,Tim Cowlishaw,0,0
Tim Raines,Tim Cowlishaw,1,1
Nomar Garciaparra,Tim Cowlishaw,0,0
Mike Mussina,Tim Cowlishaw,0,1
Gary Sheffield,Tim Cowlishaw,0,0
Fred McGriff,Tim Cowlishaw,0,0
Alan Trammell,Tim Cowlishaw,0,0
Sammy Sosa,Tim Cowlishaw,0,0
Larry Walker,Tim Kawakami,0,0
Roger Clemens,Tim Kawakami,1,1
Curt Schilling,Tim Kawakami,1,1
Mike Piazza,Tim Kawakami,1,1
Lee Smith,Tim Kawakami,0,0
Barry Bonds,Tim Kawakami,1,1
Jeff Kent,Tim Kawakami,0,0
Edgar Martinez,Tim Kawakami,0,0
Jeff Bagwell,Tim Kawakami,1,1
Mark McGwire,Tim Kawakami,0,0
Tim Raines,Tim Kawakami,1,1
Nomar Garciaparra,Tim Kawakami,0,0
Mike Mussina,Tim Kawakami,0,1
Gary Sheffield,Tim Kawakami,0,0
Fred McGriff,Tim Kawakami,0,0
Alan Trammell,Tim Kawakami,0,1
Sammy Sosa,Tim Kawakami,0,0
Larry Walker,Tom DAngelo,0,0
Roger Clemens,Tom DAngelo,0,0
Curt Schilling,Tom DAngelo,1,1
Mike Piazza,Tom DAngelo,1,1
Lee Smith,Tom DAngelo,0,0
Barry Bonds,Tom DAngelo,0,0
Jeff Kent,Tom DAngelo,0,0
Edgar Martinez,Tom DAngelo,0,0
Jeff Bagwell,Tom DAngelo,0,1
Mark McGwire,Tom DAngelo,0,0
Tim Raines,Tom DAngelo,1,1
Nomar Garciaparra,Tom DAngelo,0,0
Mike Mussina,Tom DAngelo,1,1
Gary Sheffield,Tom DAngelo,0,0
Fred McGriff,Tom DAngelo,0,0
Alan Trammell,Tom DAngelo,0,1
Sammy Sosa,Tom DAngelo,0,0
Larry Walker,Tom Singer,0,0
Roger Clemens,Tom Singer,1,1
Curt Schilling,Tom Singer,0,0
Mike Piazza,Tom Singer,1,1
Lee Smith,Tom Singer,1,1
Barry Bonds,Tom Singer,1,1
Jeff Kent,Tom Singer,1,1
Edgar Martinez,Tom Singer,1,1
Jeff Bagwell,Tom Singer,1,1
Mark McGwire,Tom Singer,0,0
Tim Raines,Tom Singer,0,0
Nomar Garciaparra,Tom Singer,0,0
Mike Mussina,Tom Singer,0,0
Gary Sheffield,Tom Singer,0,1
Fred McGriff,Tom Singer,0,0
Alan Trammell,Tom Singer,0,0
Sammy Sosa,Tom Singer,0,0
Larry Walker,Tom Yantz,0,0
Roger Clemens,Tom Yantz,0,0
Curt Schilling,Tom Yantz,1,1
Mike Piazza,Tom Yantz,1,1
Lee Smith,Tom Yantz,0,0
Barry Bonds,Tom Yantz,0,0
Jeff Kent,Tom Yantz,0,0
Edgar Martinez,Tom Yantz,0,0
Jeff Bagwell,Tom Yantz,1,1
Mark McGwire,Tom Yantz,0,0
Tim Raines,Tom Yantz,1,0
Nomar Garciaparra,Tom Yantz,0,0
Mike Mussina,Tom Yantz,0,1
Gary Sheffield,Tom Yantz,0,0
Fred McGriff,Tom Yantz,0,0
Alan Trammell,Tom Yantz,0,0
Sammy Sosa,Tom Yantz,0,0
Larry Walker,Tracy Ringolsby,0,1
Roger Clemens,Tracy Ringolsby,1,1
Curt Schilling,Tracy Ringolsby,0,0
Mike Piazza,Tracy Ringolsby,1,1
Lee Smith,Tracy Ringolsby,0,1
Barry Bonds,Tracy Ringolsby,1,1
Jeff Kent,Tracy Ringolsby,0,0
Edgar Martinez,Tracy Ringolsby,0,0
Jeff Bagwell,Tracy Ringolsby,1,1
Mark McGwire,Tracy Ringolsby,0,0
Tim Raines,Tracy Ringolsby,1,1
Nomar Garciaparra,Tracy Ringolsby,0,0
Mike Mussina,Tracy Ringolsby,0,0
Gary Sheffield,Tracy Ringolsby,0,0
Fred McGriff,Tracy Ringolsby,0,0
Alan Trammell,Tracy Ringolsby,1,1
Sammy Sosa,Tracy Ringolsby,0,0
